country,country_code,area_type,area,representative_city,latitude,longitude,date,temp_min,temp_max,precipitation_mm,precipitation_probability,weather_code,weather
Moldova,MD,Raion,Cimișlia Raion,Cimișlia,46.52629,28.7649,2026-08-21,18.9,34.0,0.0,0,1,Mainly clear
Moldova,MD,Raion,Cimișlia Raion,Cimișlia,46.52629,28.7649,2026-08-22,16.0,33.3,0.0,0,0,Clear sky
Moldova,MD,Raion,Cimișlia Raion,Cimișlia,46.52629,28.7649,2026-08-23,20.4,31.3,1.7,28,95,Thunderstorm
Moldova,MD,Raion,Cimișlia Raion,Cimișlia,46.52629,28.7649,2026-08-24,16.8,22.9,0.3,18,3,Overcast
Moldova,MD,Raion,Cimișlia Raion,Cimișlia,46.52629,28.7649,2026-08-25,14.2,29.3,0.0,10,2,Partly cloudy
Moldova,MD,Raion,Cimișlia Raion,Cimișlia,46.52629,28.7649,2026-08-26,16.7,27.2,0.6,30,3,Overcast
Moldova,MD,Raion,Criuleni Raion,Criuleni,47.2134,29.15847,2026-08-20,15.2,33.4,0.0,0,1,Mainly clear
Moldova,MD,Raion,Criuleni Raion,Criuleni,47.2134,29.15847,2026-08-21,19.0,35.0,0.0,0,0,Clear sky
Moldova,MD,Raion,Criuleni Raion,Criuleni,47.2134,29.15847,2026-08-22,16.3,34.1,0.0,0,0,Clear sky
Moldova,MD,Raion,Criuleni Raion,Criuleni,47.2134,29.15847,2026-08-23,21.0,31.0,0.3,20,3,Overcast
Moldova,MD,Raion,Criuleni Raion,Criuleni,47.2134,29.15847,2026-08-24,17.3,26.1,0.0,13,3,Overcast
Moldova,MD,Raion,Criuleni Raion,Criuleni,47.2134,29.15847,2026-08-25,14.3,29.1,0.0,15,3,Overcast
Moldova,MD,Raion,Criuleni Raion,Criuleni,47.2134,29.15847,2026-08-26,16.3,26.5,4.8,33,80,Light rain showers
Moldova,MD,Raion,Călărași Raion,Călărași,47.25548,28.30953,2026-08-20,14.8,33.0,0.0,0,1,Mainly clear
Moldova,MD,Raion,Călărași Raion,Călărași,47.25548,28.30953,2026-08-21,20.8,35.4,0.0,0,1,Mainly clear
Moldova,MD,Raion,Călărași Raion,Călărași,47.25548,28.30953,2026-08-22,17.4,34.0,0.1,0,3,Overcast
Moldova,MD,Raion,Călărași Raion,Călărași,47.25548,28.30953,2026-08-23,19.0,29.0,0.1,23,3,Overcast
Moldova,MD,Raion,Călărași Raion,Călărași,47.25548,28.30953,2026-08-24,16.7,26.0,0.0,11,3,Overcast
Moldova,MD,Raion,Călărași Raion,Călărași,47.25548,28.30953,2026-08-25,15.6,27.8,0.0,18,3,Overcast
Moldova,MD,Raion,Călărași Raion,Călărași,47.25548,28.30953,2026-08-26,16.4,27.0,0.0,38,3,Overcast
Moldova,MD,Raion,Căușeni Raion,Căușeni,46.63738,29.41087,2026-08-20,16.2,32.8,0.0,0,3,Overcast
Moldova,MD,Raion,Căușeni Raion,Căușeni,46.63738,29.41087,2026-08-21,20.2,32.6,0.0,0,1,Mainly clear
Moldova,MD,Raion,Căușeni Raion,Căușeni,46.63738,29.41087,2026-08-22,16.7,32.5,0.0,0,45,Fog
Moldova,MD,Raion,Căușeni Raion,Căușeni,46.63738,29.41087,2026-08-23,19.8,30.8,0.2,13,3,Overcast
Moldova,MD,Raion,Căușeni Raion,Căușeni,46.63738,29.41087,2026-08-24,16.8,22.2,0.6,18,61,Light rain
Moldova,MD,Raion,Căușeni Raion,Căușeni,46.63738,29.41087,2026-08-25,15.0,29.4,0.0,10,3,Overcast
Moldova,MD,Raion,Căușeni Raion,Căușeni,46.63738,29.41087,2026-08-26,16.9,27.4,0.0,28,3,Overcast
Moldova,MD,Raion,Dondușeni Raion,Dondușeni,48.24268,27.6101,2026-08-20,12.5,31.2,0.0,0,3,Overcast
Moldova,MD,Raion,Dondușeni Raion,Dondușeni,48.24268,27.6101,2026-08-21,19.6,35.6,0.0,0,1,Mainly clear
Moldova,MD,Raion,Dondușeni Raion,Dondușeni,48.24268,27.6101,2026-08-22,17.8,33.4,0.0,36,3,Overcast
Moldova,MD,Raion,Dondușeni Raion,Dondușeni,48.24268,27.6101,2026-08-23,17.4,25.5,0.0,38,3,Overcast
Moldova,MD,Raion,Dondușeni Raion,Dondușeni,48.24268,27.6101,2026-08-24,15.7,23.4,0.0,16,3,Overcast
Moldova,MD,Raion,Dondușeni Raion,Dondușeni,48.24268,27.6101,2026-08-25,13.1,24.7,0.0,14,3,Overcast
Moldova,MD,Raion,Dondușeni Raion,Dondușeni,48.24268,27.6101,2026-08-26,14.4,25.8,0.0,30,3,Overcast
Moldova,MD,Raion,Drochia Raion,Drochia,48.03686,27.81242,2026-08-20,13.0,31.9,0.0,0,3,Overcast
Moldova,MD,Raion,Drochia Raion,Drochia,48.03686,27.81242,2026-08-21,18.8,35.8,0.0,0,2,Partly cloudy
Moldova,MD,Raion,Drochia Raion,Drochia,48.03686,27.81242,2026-08-22,17.9,33.7,0.2,18,80,Light rain showers
Moldova,MD,Raion,Drochia Raion,Drochia,48.03686,27.81242,2026-08-23,17.8,26.3,0.2,24,3,Overcast
Moldova,MD,Raion,Drochia Raion,Drochia,48.03686,27.81242,2026-08-24,16.2,24.1,0.0,23,61,Light rain
Moldova,MD,Raion,Drochia Raion,Drochia,48.03686,27.81242,2026-08-25,13.5,26.5,0.0,18,3,Overcast
Moldova,MD,Raion,Drochia Raion,Drochia,48.03686,27.81242,2026-08-26,15.1,26.2,3.9,30,95,Thunderstorm
Moldova,MD,Raion,Dubăsari Raion,Cocieri,47.3017,29.11755,2026-08-20,15.6,32.8,0.0,0,2,Partly cloudy
Moldova,MD,Raion,Dubăsari Raion,Cocieri,47.3017,29.11755,2026-08-21,19.6,34.5,0.0,0,0,Clear sky
Moldova,MD,Raion,Dubăsari Raion,Cocieri,47.3017,29.11755,2026-08-22,17.3,33.5,0.0,0,0,Clear sky
Moldova,MD,Raion,Dubăsari Raion,Cocieri,47.3017,29.11755,2026-08-23,21.2,29.9,0.3,20,80,Light rain showers
Moldova,MD,Raion,Dubăsari Raion,Cocieri,47.3017,29.11755,2026-08-24,17.7,25.8,0.0,13,3,Overcast
Moldova,MD,Raion,Dubăsari Raion,Cocieri,47.3017,29.11755,2026-08-25,15.4,28.8,0.0,15,3,Overcast
Moldova,MD,Raion,Dubăsari Raion,Cocieri,47.3017,29.11755,2026-08-26,16.0,26.1,4.8,38,80,Light rain showers
Moldova,MD,Raion,Edineț Raion,Edineț,48.17319,27.30075,2026-08-20,13.6,31.6,0.0,0,3,Overcast
Moldova,MD,Raion,Edineț Raion,Edineț,48.17319,27.30075,2026-08-21,19.1,35.7,0.0,0,2,Partly cloudy
Moldova,MD,Raion,Edineț Raion,Edineț,48.17319,27.30075,2026-08-22,18.1,33.6,0.0,33,3,Overcast
Moldova,MD,Raion,Edineț Raion,Edineț,48.17319,27.30075,2026-08-23,17.8,25.5,0.0,23,3,Overcast
Moldova,MD,Raion,Edineț Raion,Edineț,48.17319,27.30075,2026-08-24,15.9,23.7,0.0,18,3,Overcast
